B,Error,Mode
2,23495766,1
3,16516289,1
4,12230628,1
2,16854418,2
3,11674992,2
5,9503156,1
6,8242725,1
4,8579360,2
5,6637852,2
7,7011143,1
6,5589445,2
8,6425140,1
7,4854496,2
9,5614454,1
10,5009897,1
8,4299787,2
9,3809716,2
11,4526025,1
10,3434301,2
12,4149091,1
11,3138465,2
14,3603078,1
13,3889979,1
12,2925951,2
13,2708408,2
15,3361798,1
16,3199188,1
15,2348137,2
14,2569205,2
17,2952352,1
16,2214148,2
18,2756752,1
17,2068704,2
19,2618194,1
18,1986145,2
20,2524252,1
19,1868884,2
21,2379186,1
22,2293401,1
20,1787950,2
23,2153094,1
21,1762218,2
22,1635533,2
24,2102871,1
23,1571653,2
25,1997690,1
24,1515606,2
26,1938546,1
25,1457176,2
27,1862372,1
26,1401576,2
28,1757285,1
27,1347225,2
29,1735013,1
28,1385217,2
30,1689902,1
29,1276126,2
31,1613296,1
30,1254859,2
32,1579886,1
31,1191240,2
33,1535342,1
32,1163293,2
34,1491001,1
33,1133000,2
35,1405822,1
34,1114458,2
36,1356469,1
37,1347746,1
35,1109680,2
36,1224841,2
38,1317748,1
39,1292748,1
37,1034345,2
38,985775,2
40,1259277,1
39,975139,2
41,1208319,1
42,1185200,1
40,941189,2
41,926403,2
43,1175554,1
44,1151838,1
42,913602,2
43,884296,2
44,852364,2
45,1122862,1
46,1099812,1
47,1068540,1
45,848090,2
46,832803,2
48,1019111,1
47,815613,2
49,971648,1
48,806075,2
50,956426,1
51,944683,1
49,840569,2
50,772881,2
52,943642,1
51,768511,2
53,933388,1
52,772128,2
54,919486,1
53,719732,2
55,908507,1
54,1390869,2
56,898457,1
55,721391,2
56,716098,2
57,888036,1
58,871427,1
57,700754,2
59,851808,1
58,687810,2
60,828894,1
59,867587,2
61,809183,1
60,684573,2
62,801865,1
61,674428,2
63,795724,1
62,651833,2
64,792192,1
63,680339,2
65,790271,1
64,650445,2
66,782015,1
67,767097,1
65,658205,2
66,627731,2
68,753446,1
67,610808,2
69,740747,1
68,608775,2
70,728937,1
71,716870,1
69,613140,2
70,666562,2
71,707059,2
72,707316,1
73,696852,1
72,765035,2
74,683110,1
75,663609,1
73,594072,2
74,585178,2
76,643093,1
75,584759,2
77,621123,1
76,582676,2
78,594627,1
77,557051,2
79,573950,1
78,584274,2
80,554635,1
81,543860,1
79,524918,2
80,555384,2
82,539558,1
81,1201268,2
83,533765,1
84,526375,1
82,1264057,2
83,582385,2
85,524741,1
84,622391,2
85,526768,2
86,524370,1
87,524024,1
88,523035,1
86,715981,2
87,521833,2
88,597091,2
89,521046,1
90,518616,1
89,528201,2
91,515107,1
90,580682,2
92,511042,1
91,527731,2
92,488804,2
93,507788,1
93,492776,2
94,503545,1
95,499861,1
94,589070,2
96,496633,1
95,516103,2
96,515842,2
97,493728,1
97,643640,2
98,491117,1
99,487864,1
98,532016,2
100,485145,1
99,506755,2
101,482553,1
100,505574,2
102,479532,1
101,482443,2
103,476790,1
102,536708,2
104,473891,1
103,482171,2
105,470744,1
104,512834,2
106,466888,1
107,461822,1
105,755282,2
106,506123,2
108,456709,1
107,484522,2
109,451558,1
110,446789,1
108,1387077,2
109,472424,2
111,441205,1
112,434729,1
110,486392,2
111,484615,2
113,428385,1
112,486467,2
114,422492,1
115,416672,1
113,462872,2
114,474089,2
116,411783,1
115,465752,2
117,406724,1
116,468090,2
118,401465,1
117,482705,2
119,397970,1
118,489958,2
120,396214,1
119,476821,2
121,395304,1
120,484103,2
122,394204,1
121,673486,2
123,392755,1
122,530383,2
124,391142,1
123,475968,2
125,389172,1
124,1191996,2
126,387621,1
125,465934,2
127,387045,1
126,473532,2
128,386988,1
127,473788,2
129,386921,1
128,454615,2
130,386679,1
129,724362,2
131,386366,1
130,466992,2
132,385937,1
131,451919,2
133,385270,1
132,418986,2
